[2026-03-26T14:02:17.814+0900][0.172s][info][gc,heap     ] GC(2) Eden regions: 11->0(11)
[2026-03-26T14:02:17.814+0900][0.172s][info][gc,heap     ] GC(2) Survivor regions: 1->1(2)
[2026-03-26T14:02:17.814+0900][0.172s][info][gc,heap     ] GC(2) Old regions: 0->0
[2026-03-26T14:02:17.814+0900][0.172s][info][gc,heap     ] GC(2) Humongous regions: 0->0
[2026-03-26T14:02:17.814+0900][0.172s][info][gc,metaspace] GC(2) Metaspace: 195K(384K)->195K(384K) NonClass: 183K(256K)->183K(256K) Class: 11K(128K)->11K(128K)
[2026-03-26T14:02:17.814+0900][0.172s][info][gc          ] GC(2) Pause Young (Normal) (G1 Evacuation Pause) 11M->0M(256M) 5.887ms
[2026-03-26T14:02:17.814+0900][0.172s][info][gc,cpu      ] GC(2) User=0.00s Sys=0.00s Real=0.00s
[2026-03-26T14:02:17.842+0900][0.198s][info][gc,start    ] GC(3) Pause Young (Normal) (G1 Evacuation Pause)
[2026-03-26T14:02:17.842+0900][0.198s][info][gc,task     ] GC(3) Using 6 workers of 13 for evacuation
[2026-03-26T14:02:17.843+0900][0.199s][info][gc,phases   ] GC(3)   Pre Evacuate Collection Set: 0.1ms
[2026-03-26T14:02:17.843+0900][0.199s][info][gc,phases   ] GC(3)   Merge Heap Roots: 0.0ms
[2026-03-26T14:02:17.843+0900][0.199s][info][gc,phases   ] GC(3)   Evacuate Collection Set: 0.6ms
[2026-03-26T14:02:17.843+0900][0.199s][info][gc,phases   ] GC(3)   Post Evacuate Collection Set: 0.2ms
[2026-03-26T14:02:17.843+0900][0.199s][info][gc,phases   ] GC(3)   Other: 0.1ms
[2026-03-26T14:02:17.843+0900][0.199s][info][gc,heap     ] GC(3) Eden regions: 11->0(11)
[2026-03-26T14:02:17.843+0900][0.199s][info][gc,heap     ] GC(3) Survivor regions: 1->1(2)
[2026-03-26T14:02:17.843+0900][0.199s][info][gc,heap     ] GC(3) Old regions: 0->0
[2026-03-26T14:02:17.843+0900][0.199s][info][gc,heap     ] GC(3) Humongous regions: 0->0
[2026-03-26T14:02:17.843+0900][0.199s][info][gc,metaspace] GC(3) Metaspace: 195K(384K)->195K(384K) NonClass: 183K(256K)->183K(256K) Class: 11K(128K)->11K(128K)
[2026-03-26T14:02:17.843+0900][0.199s][info][gc          ] GC(3) Pause Young (Normal) (G1 Evacuation Pause) 11M->0M(256M) 1.278ms
[2026-03-26T14:02:17.843+0900][0.199s][info][gc,cpu      ] GC(3) User=0.00s Sys=0.00s Real=0.00s
[2026-03-26T14:02:17.875+0900][0.231s][info][gc,start    ] GC(4) Pause Young (Normal) (G1 Evacuation Pause)
[2026-03-26T14:02:17.875+0900][0.231s][info][gc,task     ] GC(4) Using 6 workers of 13 for evacuation
[2026-03-26T14:02:17.876+0900][0.232s][info][gc,phases   ] GC(4)   Pre Evacuate Collection Set: 0.1ms
[2026-03-26T14:02:17.876+0900][0.232s][info][gc,phases   ] GC(4)   Merge Heap Roots: 0.0ms
[2026-03-26T14:02:17.876+0900][0.232s][info][gc,phases   ] GC(4)   Evacuate Collection Set: 0.6ms
