[2026-03-25T16:36:50.119+0900][20.578s][info][gc,metaspace] GC(7) Metaspace: 181K(384K)->181K(384K) NonClass: 170K(256K)->170K(256K) Class: 10K(128K)->10K(128K)
[2026-03-25T16:36:50.119+0900][20.578s][info][gc          ] GC(7) Pause Young (Concurrent Start) (G1 Evacuation Pause) 174M->111M(256M) 13.399ms
[2026-03-25T16:36:50.119+0900][20.578s][info][gc,cpu      ] GC(7) User=0.00s Sys=0.02s Real=0.01s
[2026-03-25T16:36:50.119+0900][20.578s][info][gc          ] GC(8) Concurrent Mark Cycle
[2026-03-25T16:36:50.119+0900][20.579s][info][gc,marking  ] GC(8) Concurrent Clear Claimed Marks
[2026-03-25T16:36:50.119+0900][20.579s][info][gc,marking  ] GC(8) Concurrent Clear Claimed Marks 0.026ms
[2026-03-25T16:36:50.119+0900][20.579s][info][gc,marking  ] GC(8) Concurrent Scan Root Regions
[2026-03-25T16:36:50.120+0900][20.579s][info][gc,marking  ] GC(8) Concurrent Scan Root Regions 0.477ms
[2026-03-25T16:36:50.120+0900][20.579s][info][gc,marking  ] GC(8) Concurrent Mark
[2026-03-25T16:36:50.120+0900][20.579s][info][gc,marking  ] GC(8) Concurrent Mark From Roots
[2026-03-25T16:36:50.120+0900][20.579s][info][gc,task     ] GC(8) Using 2 workers of 2 for marking
[2026-03-25T16:36:50.122+0900][20.582s][info][gc,marking  ] GC(8) Concurrent Mark From Roots 2.337ms
[2026-03-25T16:36:50.122+0900][20.582s][info][gc,marking  ] GC(8) Concurrent Preclean
[2026-03-25T16:36:50.122+0900][20.582s][info][gc,marking  ] GC(8) Concurrent Preclean 0.022ms
[2026-03-25T16:36:50.122+0900][20.582s][info][gc,start    ] GC(8) Pause Remark
[2026-03-25T16:36:50.123+0900][20.583s][info][gc          ] GC(8) Pause Remark 113M->113M(256M) 0.754ms
[2026-03-25T16:36:50.123+0900][20.583s][info][gc,cpu      ] GC(8) User=0.00s Sys=0.00s Real=0.00s
[2026-03-25T16:36:50.123+0900][20.583s][info][gc,marking  ] GC(8) Concurrent Mark 3.650ms
[2026-03-25T16:36:50.123+0900][20.583s][info][gc,marking  ] GC(8) Concurrent Rebuild Remembered Sets
[2026-03-25T16:36:50.124+0900][20.583s][info][gc,marking  ] GC(8) Concurrent Rebuild Remembered Sets 0.610ms
[2026-03-25T16:36:50.124+0900][20.584s][info][gc,start    ] GC(8) Pause Cleanup
[2026-03-25T16:36:50.124+0900][20.584s][info][gc          ] GC(8) Pause Cleanup 113M->113M(256M) 0.073ms
[2026-03-25T16:36:50.124+0900][20.584s][info][gc,cpu      ] GC(8) User=0.00s Sys=0.00s Real=0.00s
[2026-03-25T16:36:50.124+0900][20.584s][info][gc,marking  ] GC(8) Concurrent Cleanup for Next Mark
[2026-03-25T16:36:50.125+0900][20.584s][info][gc,marking  ] GC(8) Concurrent Cleanup for Next Mark 0.747ms
[2026-03-25T16:36:50.125+0900][20.584s][info][gc          ] GC(8) Concurrent Mark Cycle 5.965ms
[2026-03-25T16:36:52.203+0900][22.663s][info][gc,start    ] GC(9) Pause Young (Normal) (G1 Evacuation Pause)
[2026-03-25T16:36:52.203+0900][22.663s][info][gc,task     ] GC(9) Using 8 workers of 8 for evacuation
[2026-03-25T16:36:52.206+0900][22.666s][info][gc,phases   ] GC(9)   Pre Evacuate Collection Set: 0.2ms
[2026-03-25T16:36:52.206+0900][22.666s][info][gc,phases   ] GC(9)   Merge Heap Roots: 0.2ms
[2026-03-25T16:36:52.206+0900][22.666s][info][gc,phases   ] GC(9)   Evacuate Collection Set: 1.8ms
[2026-03-25T16:36:52.207+0900][22.666s][info][gc,phases   ] GC(9)   Post Evacuate Collection Set: 0.9ms
[2026-03-25T16:36:52.207+0900][22.667s][info][gc,phases   ] GC(9)   Other: 0.1ms
[2026-03-25T16:36:52.207+0900][22.667s][info][gc,heap     ] GC(9) Eden regions: 8->0(8)
[2026-03-25T16:36:52.207+0900][22.667s][info][gc,heap     ] GC(9) Survivor regions: 2->2(2)
[2026-03-25T16:36:52.207+0900][22.667s][info][gc,heap     ] GC(9) Old regions: 13->14
[2026-03-25T16:36:52.207+0900][22.667s][info][gc,heap     ] GC(9) Archive regions: 0->0
[2026-03-25T16:36:52.207+0900][22.667s][info][gc,heap     ] GC(9) Humongous regions: 0->0
